TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.4400,0,378.2899,no,unknown,unknown,unknown,Unknown,-10.1603,-0.2853,-2.5896,0.0022,0.0045,1.3032,0.0227,0.0036,0.2021,0.1825,-4.0026,0.1645,1.1152,0.6520,0.0290,0.0044,9.6811,0.0025,0.0019,0.0194,0.0322,0.0111,0.2676,0.5979,0.2744,0.0000,98.7169,0.2672,0.0294,1.8549,0.0081,0.0061,0.1139,0.0028,0.0013,0.0012,0.0018,0.0018,0.0036,0.0000,0.0020,2.2979,2.2979,0.0018,0.0283,
0.4800,0,375.5464,no,unknown,unknown,unknown,Unknown,-10.7175,0.2705,-1.6747,0.0022,0.0045,0.9547,0.0231,0.0038,0.2014,0.1843,-2.8704,0.1356,0.9427,0.6763,0.0275,0.0048,7.0623,0.0023,0.0024,0.0216,0.0396,0.0077,0.2495,0.5114,0.2461,0.0000,98.7206,0.2465,0.0222,1.9360,0.0067,0.0053,0.1019,0.0027,0.0013,0.0012,0.0018,0.0018,0.0038,0.0000,0.0020,2.2979,2.2979,0.0018,0.0282,
0.5200,0,377.7280,no,unknown,unknown,unknown,Unknown,-8.7935,-0.1827,-0.7059,0.0020,0.0046,0.8369,0.0235,0.0039,0.2009,0.1879,-2.6241,0.1247,0.6230,0.6237,0.0217,0.0051,5.8938,0.0024,0.0022,0.0202,0.0318,0.0067,0.3710,0.5025,0.2013,0.0005,98.7426,0.1421,0.0262,2.3196,0.0054,0.0055,0.0894,0.0027,0.0013,0.0012,0.0018,0.0018,0.0039,0.0000,0.0021,2.2979,2.2979,0.0018,0.0282,
0.5600,0,378.7406,no,unknown,unknown,unknown,Unknown,-9.8847,-0.3476,-0.8117,0.0021,0.0046,0.7425,0.0234,0.0039,0.2008,0.1867,-2.0320,0.1159,0.6603,0.5966,0.0204,0.0040,4.8762,0.0023,0.0023,0.0206,0.0292,0.0062,0.2445,0.5005,0.1704,0.1439,98.7010,0.0726,0.0253,2.0939,0.0042,0.0052,0.0757,0.0026,0.0013,0.0012,0.0018,0.0018,0.0039,0.0000,0.0021,2.2979,2.2979,0.0018,0.0282,
0.6000,0,380.4175,no,unknown,unknown,unknown,Unknown,-9.7067,1.0860,-1.1504,0.0023,0.0044,0.7594,0.0222,0.0037,0.2010,0.1767,-1.5320,0.1209,1.4046,0.5724,0.0196,0.0024,5.4209,0.0023,0.0025,0.0220,0.0260,0.0042,0.2055,0.5410,0.1731,0.0929,98.4974,0.0605,0.0468,2.0032,0.0038,0.0053,0.0781,0.0026,0.0013,0.0012,0.0018,0.0018,0.0037,0.0000,0.0021,2.2979,2.2979,0.0018,0.0282,
0.6400,0,378.5806,no,unknown,unknown,unknown,Unknown,-8.2433,0.8771,-1.3462,0.0030,0.0040,0.8826,0.0199,0.0033,0.2020,0.1570,-0.8888,0.1408,2.9893,0.5101,0.0237,0.0016,7.4085,0.0025,0.0019,0.0264,0.0197,0.0038,0.1195,0.6888,0.1781,0.0015,98.5580,0.0597,0.0680,1.9151,0.0028,0.0052,0.1010,0.0026,0.0013,0.0011,0.0018,0.0018,0.0033,0.0000,0.0022,2.2979,2.2979,0.0018,0.0282,
0.6800,0,376.9429,no,unknown,unknown,unknown,Unknown,-9.0697,1.0385,-1.7264,0.0034,0.0039,1.4466,0.0189,0.0029,0.2041,0.1485,-2.3452,0.1947,3.7059,0.5569,0.0211,0.0014,11.7521,0.0027,0.0017,0.0323,0.0172,0.0040,0.0834,0.8951,0.1621,0.0053,98.5113,0.0456,0.0774,1.9743,0.0019,0.0051,0.1283,0.0027,0.0013,0.0011,0.0018,0.0018,0.0029,0.0000,0.0023,2.2979,2.2979,0.0018,0.0282,
0.7200,0,373.7797,no,unknown,unknown,unknown,Unknown,-8.6990,0.7662,-1.0994,0.0032,0.0040,3.5741,0.0192,0.0027,0.2078,0.1534,-6.3841,0.3328,3.2271,0.5519,0.0174,0.0015,18.8741,0.0031,0.0017,0.0360,0.0174,0.0037,0.0595,1.2978,0.1279,0.4385,98.5891,0.0285,0.0610,1.8236,0.0012,0.0046,0.1678,0.0027,0.0012,0.0010,0.0018,0.0018,0.0027,0.0000,0.0024,2.2979,2.2979,0.0018,0.0282,
0.7600,0,375.4799,no,unknown,unknown,unknown,Unknown,-7.4620,-0.0824,-1.6170,0.0036,0.0040,7.0198,0.0181,0.0024,0.2119,0.1461,-8.7146,0.5254,3.8702,0.5417,0.0152,0.0014,24.8536,0.0034,0.0015,0.0402,0.0166,0.0033,0.0393,1.7380,0.1224,0.2789,98.7673,0.0182,0.0812,2.0564,0.0008,0.0045,0.2249,0.0028,0.0012,0.0010,0.0018,0.0018,0.0024,0.0000,0.0025,2.2978,2.2978,0.0018,0.0282,
0.8000,0,373.5655,no,unknown,unknown,unknown,Unknown,-7.9130,0.2732,-1.5270,0.0038,0.0040,22.5252,0.0174,0.0020,0.2157,0.1422,-13.8194,1.1788,4.2261,0.4737,0.0129,0.0015,35.8109,0.0040,0.0012,0.0494,0.0191,0.0033,0.0270,2.1862,0.1214,0.0967,98.7199,0.0087,0.0730,1.9904,0.0007,0.0041,0.2774,0.0028,0.0011,0.0009,0.0018,0.0018,0.0020,0.0000,0.0027,2.2978,2.2978,0.0018,0.0282,
0.8400,0,374.3834,no,unknown,unknown,unknown,Unknown,-6.8117,0.7100,-1.0286,0.0041,0.0039,40.9552,0.0168,0.0017,0.2189,0.1386,-17.0331,1.9930,4.5826,0.4522,0.0120,0.0015,42.9379,0.0039,0.0013,0.0635,0.0215,0.0056,0.0239,2.5263,0.1318,2.8071,98.6047,0.0059,0.0502,1.5576,0.0008,0.0043,0.3020,0.0029,0.0011,0.0009,0.0018,0.0018,0.0017,0.0000,0.0030,2.2978,2.2978,0.0018,0.0282,
0.8800,0,375.6967,no,unknown,unknown,unknown,Unknown,-4.3344,-0.3591,-1.5462,0.0058,0.0036,48.4745,0.0143,0.0014,0.2262,0.1187,-16.6670,2.6629,6.6505,0.4569,0.0137,0.0012,46.3600,0.0046,0.0012,0.0396,0.0230,0.0063,0.0129,3.2570,0.1263,0.6953,98.6980,0.0036,0.0519,1.4717,0.0007,0.0044,0.3361,0.0030,0.0011,0.0009,0.0018,0.0018,0.0014,0.0000,0.0033,2.2978,2.2978,0.0018,0.0282,
0.9200,0,375.3435,no,unknown,unknown,unknown,Unknown,-5.9905,-0.3667,-1.2808,0.0238,0.0022,41.6157,0.0078,0.0008,0.2357,0.0623,-9.1391,3.2948,15.2301,0.4396,0.0162,0.0009,48.5087,0.0055,0.0010,0.0331,0.0249,0.0055,0.0079,4.1809,0.1117,0.0047,98.6961,0.0029,0.0867,1.3623,0.0007,0.0048,0.3893,0.0041,0.0010,0.0008,0.0018,0.0018,0.0008,0.0000,0.0040,2.2978,2.2978,0.0018,0.0282,
0.9600,0,374.8538,no,unknown,unknown,unknown,Unknown,-8.0550,-1.6677,-2.1489,0.2149,0.0011,17.3195,0.0030,0.0003,0.2567,0.0231,5.6889,4.4130,28.4716,0.4475,0.0191,0.0006,45.3537,0.0069,0.0009,0.0248,0.0235,0.0045,0.0061,6.0709,0.0989,0.0003,98.3151,0.0026,0.1082,1.3408,0.0006,0.0051,0.4635,0.0169,0.0010,0.0008,0.0018,0.0018,0.0003,0.0000,0.0049,2.2979,2.2979,0.0018,0.0283,
1.0000,0,369.4761,no,unknown,unknown,unknown,Unknown,-9.3005,-0.5161,-2.2181,3.1950,0.0005,6.3385,0.0009,0.0001,0.2862,0.0067,22.5167,32.4902,44.8807,0.4336,0.0219,0.0004,44.5485,0.0087,0.0008,0.0182,0.0221,0.0048,0.0052,8.5038,0.0731,0.0000,98.6571,0.0024,0.1348,1.2574,0.0006,0.0055,0.5737,0.2474,0.0010,0.0008,0.0018,0.0018,0.0001,0.0000,0.0059,2.2979,2.2979,0.0018,0.0283,
1.0400,0,375.8333,no,unknown,unknown,unknown,Unknown,-8.2999,-1.6336,-1.9359,16.5692,0.0003,2.5776,0.0004,0.0001,0.3109,0.0030,34.3309,69.1538,55.6512,0.5234,0.0263,0.0005,42.4055,0.0096,0.0008,0.0166,0.0186,0.0028,0.0038,10.2822,0.0584,0.0000,98.3263,0.0037,0.1297,1.2690,0.0004,0.0050,0.5602,1.4463,0.0009,0.0007,0.0018,0.0018,0.0001,0.0000,0.0064,2.2979,2.2979,0.0018,0.0283,
1.0800,0,375.2402,no,unknown,unknown,unknown,Unknown,-8.9868,-2.7318,-1.3745,64.5246,0.0002,0.9187,0.0002,0.0000,0.3943,0.0011,48.4865,93.4437,68.5985,0.5218,0.0322,0.0005,40.0130,0.0140,0.0007,0.0132,0.0183,0.0014,0.0036,15.5750,0.0355,0.0000,97.9238,0.0051,0.1605,1.5098,0.0003,0.0048,0.7031,4.6257,0.0009,0.0007,0.0018,0.0018,0.0000,0.0000,0.0070,2.2980,2.2980,0.0018,0.0283,
